time,value3,value1,value2
1150.5,423,0.363032,-4.43389
1152,-34,0.224521,-4.32059
1153.5,-84,0.363311,-4.43347
1155,-69,0.357447,-4.38882
1156.5,-39,0.399894,-4.2941
1158,2,0.146888,-4.3279
1159.5,-108,0.263059,-4.38006
1161,54,0.375319,-4.43305
1162.5,-142,0.376157,-4.36399
1164,62,0.372248,-4.41657
1165.5,-82,0.305785,-4.4003
1167,155,0.426702,-4.40906
1168.5,-147,0.277301,-4.37547
1170,-84,0.327008,-4.41156
1171.5,-52,0.161968,-4.31267
1173,-9,0.25524,-4.43848
1174.5,-77,0.337899,-4.28596
1176,7,0.14633,-4.39195
1177.5,-53,0.452394,-4.34334
1179,-52,0.171184,-4.36441
1180.5,-44,0.203298,-4.36983
1182,4,0.255519,-4.36754
1183.5,-7,0.38621,-4.35648
1185,-51,0.256357,-4.45621
1186.5,13,0.342088,-4.36962
1188,-121,0.284003,-4.4053
1189.5,-17,0.246024,-4.26572
1191,-44,0.292939,-4.46602
1192.5,-6,0.319468,-4.46936
1194,-94,0.369455,-4.37693
1195.5,16,0.200226,-4.33374
1197,7,0.156662,-4.42805
1198.5,-38,0.285958,-4.37067
1200,-37,0.163923,-4.40885
1201.5,-11,0.180678,-4.41949
1203,-16,0.140186,-4.42408
1204.5,62,0.282607,-4.36357
1206,-99,0.166716,-4.3642
1207.5,10,0.216982,-4.39445
1209,-15,0.282048,-4.38423
1210.5,42,0.261942,-4.3039
1212,-51,0.245745,-4.38882
1213.5,-58,0.237926,-4.42805
1215,29,0.318631,-4.34897
1216.5,-32,0.357447,-4.39258
1218,28,0.225359,-4.40989
1219.5,-68,0.393471,-4.29222
1221,22,0.22899,-4.42951
1222.5,-89,0.321144,-4.4921
