time,value4,value1,value2,value3
798,-5,-0.0203733,-0.044813,0.0208256
799.5,-16,-0.0220938,-0.0522597,0.02434
801,5,-0.0268507,-0.0556663,0.029028
802.5,-23,-0.0326846,-0.0537466,0.0216239
804,9,-0.0488937,-0.0594828,0.0138938
805.5,-20,-0.0606537,-0.0604929,0.0214007
807,2,-0.0562498,-0.0627478,0.020109
808.5,-20,-0.0554795,-0.0685112,0.0202571
810,-3,-0.0558773,-0.0724747,0.0247192
811.5,-12,-0.0630532,-0.0630815,0.0313815
813,-6,-0.0546441,-0.0568234,0.0276766
814.5,-16,-0.0598452,-0.049266,0.0402108
816,-7,-0.0449302,-0.0465705,0.0349138
817.5,0,-0.0452165,-0.050658,0.0472862
819,-25,-0.0377668,-0.0489785,0.053327
820.5,-7,-0.0449429,-0.0463405,0.0538161
822,-6,-0.0417012,-0.0568322,0.0523308
823.5,-20,-0.0350995,-0.0590577,0.0535403
